"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Running","Run","","0.5","","2023-01-19","","2555.59008789063","","","","","0.283686131238937","2.50200009346008","","163","","137","152","","","0.679929546665823","14.09","13","3","0","0","0","","","","","","","","","","","","","","","","",""
"Aerobic Bike","Bike","","1","","2023-01-19","","29609.529296875","153","255","554.131","","1.00500357151031","8.18299961090088","","79","","124","140","","","0.604601232284698","36.4","2","58","0","0","0","","","","","","60","1","0","0","0","","","","","","",""
"Lap Swimming","Swim","","0.75","2000","2023-01-20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Run","","0.5","","2023-01-21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aerobic Bike","Bike","","2.5","","2023-01-21","","34847.390625","146","279","707.14","","1.33834075927734","7.23199987411499","","81","","117","140","","","0.57938587348091","44.73","1","79","0","0","0","","","","","","79","1","0","0","0","","","","","","",""
"Aerobic Bike","Bike","","2","","2023-01-22","","40689.890625","155","292","844.624","","1.51274037361145","7.47100019454956","","79","","112","141","","","0.612414501950372","56.04","2","89","0","0","0","","","","","","88","1","0","0","0","","","","","","",""
"Lap Swimming","Swim","","0.75","2000","2023-01-23","","2000","","","","","0.656537779702081","0.8424599831508","","21","","113","133","","","0.860765787264202","41.87","25","0","0","0","0","","","","","","","","","","","","","","","","",""
"Aerobic Bike","Bike","","1","","2023-01-23","","29820.109375","154","299","558.492","","1.00472223758698","8.24400043487549","","78","","107","134","","","0.608076035409851","36.84","3","57","0","0","0","","","","","","59","1","0","0","0","","","","","","",""
"Running","Run","","","","2023-01-23","","3015.38989257813","276","335","307.796","","0.309457778930664","2.70700001716614","","170","","144","155","","","0.694875607197639","14.56","11","7","1","0","0","","","","","","15","0","0","0","0","","","","","","",""
"Bike Aerobic Speed","Bike","","1.25","","2023-01-24","","29799.990234375","154","266","562.31","","1.01338112354279","8.16800022125244","","79","","118","132","","","0.610636494273811","37.38","9","52","0","0","0","","","","","","60","1","0","0","0","","","","","","",""
